Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
22,Male,74.3,1.72,192,89,66,1.62,549,Yoga,13.5,3.87,4,3,24.99
59,Male,58.9,1.75,169,120,73,1.74,1143,Cardio,29.5,4.16,4,2,19.24
56,Female,56.0,1.6,180,127,77,1.26,655,Strength,21.6,3.11,3,1,21.78
58,Male,66.6,1.72,178,119,77,0.82,566,Cardio,20.9,3.64,2,1,22.47
45,Male,67.3,1.77,172,137,80,1.82,1279,Cardio,26.6,3.47,3,1,21.38
24,Female,65.1,1.53,191,122,70,1.39,756,Strength,19.0,3.68,6,3,27.93
26,Male,43.9,1.65,191,146,75,1.17,1037,HIIT,18.3,2.27,3,1,16.12
25,Female,43.9,1.61,191,123,64,0.92,670,Cardio,30.6,3.28,2,1,16.9
29,Female,63.4,1.69,188,104,60,0.92,456,Strength,26.9,4.01,6,2,22.15
51,Male,79.7,1.77,178,100,66,0.95,495,Yoga,19.8,3.38,4,2,25.48
50,Female,61.7,1.63,184,106,67,0.88,449,Strength,30.8,3.31,4,2,23.34
40,Female,64.4,1.6,177,144,75,0.25,299,HIIT,23.3,3.12,4,2,25.27
41,Female,59.3,1.72,174,122,54,1.1,925,Cardio,34.7,2.73,3,1,19.97
54,Male,77.7,1.82,178,126,57,1.84,1730,HIIT,5.9,3.86,4,3,23.4
52,Male,84.1,1.89,163,112,70,0.81,474,Strength,24.9,3.34,3,1,23.58
57,Female,71.0,1.6,175,121,65,2.05,1094,Strength,33.2,5.0,3,1,27.64
39,Male,68.4,1.78,183,146,62,1.79,1964,HIIT,13.1,4.36,3,2,21.68
44,Male,90.8,1.7,164,114,64,1.29,736,Strength,9.7,4.0,3,2,31.59
52,Male,80.2,1.65,170,117,65,0.76,510,Strength,18.3,3.87,2,1,29.3
18,Female,82.3,1.69,200,102,62,0.74,445,Yoga,27.0,3.67,2,2,28.81
52,Male,98.1,1.67,165,114,79,1.11,560,Strength,17.8,4.36,2,1,35.07
54,Female,44.8,1.7,174,127,75,1.17,739,Cardio,30.0,2.68,2,1,15.5
31,Female,53.0,1.61,178,99,68,1.38,524,Yoga,32.2,3.94,4,3,20.35
20,Female,76.4,1.7,186,133,71,1.52,1155,Cardio,20.7,3.63,3,1,26.31
18,Female,41.7,1.66,202,148,77,1.67,1634,HIIT,17.7,3.05,4,1,15.12
22,Female,84.9,1.86,190,132,68,1.62,1488,HIIT,22.2,4.41,5,3,24.58
43,Female,60.2,1.63,182,110,67,1.63,727,Strength,19.1,3.82,5,3,22.76
31,Male,86.1,1.77,184,98,63,1.19,562,Strength,14.6,3.94,4,2,27.58
56,Female,63.4,1.6,163,119,64,1.3,830,Cardio,31.3,3.88,2,2,24.86
44,Male,58.5,1.73,171,120,73,1.44,892,Cardio,16.4,3.07,2,2,19.52
26,Male,92.8,1.86,194,116,60,1.34,1203,HIIT,14.4,4.9,5,3,26.93
32,Male,116.5,1.77,185,117,55,1.68,1358,Cardio,12.3,4.64,5,3,37.2
32,Female,57.8,1.72,179,123,68,0.78,420,Strength,27.3,3.09,3,1,19.44
43,Male,73.5,1.78,178,141,80,0.89,850,HIIT,20.8,4.25,2,1,23.26
59,Female,40.0,1.54,174,116,64,0.93,623,HIIT,38.9,2.57,2,2,16.91
30,Female,83.9,1.57,188,110,69,1.07,563,Strength,26.4,4.23,2,2,33.88
49,Female,77.8,1.5,171,119,63,1.2,820,Strength,30.8,3.69,3,2,34.56
56,Female,40.7,1.7,163,111,72,1.66,637,Yoga,25.9,2.97,4,2,14.12
49,Female,40.0,1.56,173,127,66,1.46,1202,HIIT,12.4,3.02,4,3,16.45
21,Female,40.0,1.63,196,97,62,0.7,300,Yoga,24.7,2.95,4,1,15.09
47,Female,74.0,1.62,182,104,73,0.66,360,Strength,28.9,3.78,4,1,28.24
54,Female,75.4,1.73,175,99,61,1.0,506,Cardio,31.1,3.7,4,1,25.08
40,Female,52.1,1.64,179,139,68,1.44,1219,Cardio,28.6,2.77,2,1,19.46
56,Female,72.0,1.69,169,123,71,1.64,993,Strength,32.1,4.18,3,1,25.31
32,Male,80.2,1.88,183,147,82,0.59,620,HIIT,12.2,3.4,2,1,22.67
46,Male,72.9,1.96,182,131,69,1.43,1213,HIIT,17.2,3.37,4,2,18.97
53,Male,91.6,1.77,180,109,58,1.31,1089,HIIT,21.1,4.26,4,3,29.28
30,Male,61.1,1.77,183,121,65,1.19,731,Strength,12.1,3.89,5,2,19.54
49,Female,81.1,1.5,191,129,73,0.93,805,HIIT,30.6,3.68,3,2,36.03
24,Female,54.8,1.69,189,137,66,1.07,1034,HIIT,32.8,3.61,2,1,19.19
39,Female,89.9,1.57,178,110,74,0.91,498,Yoga,18.8,4.03,6,2,36.52
45,Male,63.9,1.81,186,112,64,1.21,702,Strength,18.7,3.69,4,2,19.45
19,Female,60.1,1.67,178,100,62,1.7,746,Strength,25.8,3.6,2,2,21.55
59,Female,65.8,1.67,173,123,68,1.37,1150,HIIT,26.6,3.97,2,1,23.62
23,Female,65.7,1.67,188,119,61,1.82,1243,Cardio,19.9,4.27,2,1,23.5
45,Female,71.9,1.53,186,124,58,1.33,1165,HIIT,26.2,4.05,3,1,30.58
45,Female,47.0,1.73,181,122,67,1.36,960,Cardio,24.2,3.13,4,2,15.68
37,Male,77.5,1.65,182,100,63,1.64,640,Yoga,6.0,4.43,5,3,28.46
47,Female,66.9,1.58,180,85,65,1.18,300,Yoga,16.0,3.7,5,3,26.94
28,Male,70.6,1.8,180,109,66,0.57,330,Yoga,12.4,2.87,4,2,21.7
45,Male,83.7,1.78,183,126,81,1.58,774,Strength,11.8,3.97,5,2,26.36
42,Female,46.2,1.65,171,138,64,0.82,850,HIIT,24.1,2.7,3,3,16.92
56,Male,73.4,1.72,174,82,63,1.54,304,Yoga,24.1,3.1,2,1,24.92
50,Female,54.5,1.65,175,124,64,1.41,1061,Cardio,25.9,3.84,2,1,20.0
18,Male,73.5,1.83,180,102,63,1.15,472,Yoga,18.3,4.9,6,3,21.98
44,Female,85.3,1.59,178,111,68,1.0,579,Cardio,32.3,4.29,2,1,33.54
30,Male,98.5,1.89,187,106,56,1.45,1070,Cardio,14.1,4.41,3,3,27.49
58,Female,82.8,1.62,167,103,63,1.13,750,Strength,24.5,3.63,5,3,31.74
20,Female,58.5,1.63,184,139,67,1.49,1447,HIIT,23.9,3.19,3,2,22.1
56,Male,90.7,1.72,175,123,73,1.67,963,Strength,8.9,4.38,4,3,30.5
23,Female,66.6,1.5,191,110,62,0.79,379,Yoga,21.3,3.69,6,2,29.53
25,Female,65.6,1.74,189,114,64,1.01,636,Strength,26.6,3.15,4,2,21.64
44,Male,76.9,1.95,178,142,81,1.14,957,Cardio,18.9,4.75,2,1,20.21
26,Male,102.6,1.72,184,147,73,1.55,1619,HIIT,23.2,3.93,2,1,34.57
54,Male,97.1,1.73,187,104,65,1.38,680,Yoga,10.1,4.36,3,1,32.62
50,Female,75.4,1.74,173,125,63,0.48,633,HIIT,16.8,3.32,4,2,24.87
59,Female,62.6,1.6,165,114,64,1.05,630,Cardio,19.9,3.38,3,1,24.54
41,Female,65.6,1.64,180,125,71,1.32,926,Cardio,28.3,3.38,3,1,24.47
32,Male,85.4,1.79,183,148,77,0.87,833,HIIT,12.6,3.76,2,1,26.77
49,Male,70.7,1.68,174,106,77,0.99,332,Yoga,18.6,3.33,2,2,24.91
49,Female,78.1,1.7,187,114,54,1.19,985,Cardio,26.3,4.29,4,3,27.12
41,Male,65.1,1.71,173,126,68,1.34,972,Cardio,22.1,4.25,4,3,22.25
58,Male,83.5,1.57,171,123,68,0.96,739,HIIT,24.0,3.59,4,2,34.06
29,Female,40.0,1.74,179,114,61,1.68,967,Strength,19.0,2.65,5,3,13.21
56,Female,57.3,1.59,169,100,64,1.0,367,Yoga,16.7,3.37,3,2,22.68
19,Female,94.1,1.71,201,99,55,0.94,660,Strength,21.8,4.06,4,2,32.24
20,Female,79.5,1.76,192,120,71,1.16,743,Strength,29.9,3.83,3,2,25.71
54,Female,86.5,1.61,175,124,63,1.67,1376,HIIT,25.6,4.45,5,1,33.28
34,Female,55.7,1.61,177,116,59,1.63,1162,Cardio,,4.14,5,3,21.57
19,Male,79.5,1.82,188,121,74,1.36,795,Strength,16.7,4.24,2,1,23.97
19,Male,95.9,1.68,201,113,60,1.25,1037,HIIT,27.4,4.38,4,1,34.01
45,Male,86.9,1.71,180,113,59,0.97,736,Cardio,11.9,4.12,3,2,29.82
40,Male,85.1,1.74,178,122,78,0.93,516,Strength,19.8,3.86,2,1,27.96
54,Female,87.8,1.71,176,112,72,0.87,442,Yoga,33.0,3.4,5,1,29.9
49,Male,63.4,1.79,177,118,63,1.68,966,Strength,26.2,4.36,4,2,19.72
50,Male,75.4,1.67,170,116,72,1.25,736,Strength,16.0,3.8,3,1,26.9
18,Male,53.4,1.77,189,113,71,0.72,308,Strength,21.8,2.62,4,2,16.98
36,Male,62.7,1.64,196,109,74,1.81,817,Strength,13.8,3.39,3,2,23.3
19,Female,80.0,1.59,193,88,60,1.18,527,Yoga,31.9,3.44,3,2,31.47
43,Male,65.2,1.88,169,93,61,1.53,473,Yoga,25.6,3.23,3,2,18.36
49,Female,75.3,1.69,179,115,71,1.67,1040,Cardio,20.6,4.28,5,2,26.51
23,Male,101.2,1.81,196,113,71,0.4,312,Yoga,20.3,3.69,4,2,30.94
49,Female,62.5,1.59,170,126,59,1.46,1386,HIIT,30.6,3.94,5,2,24.61
21,Female,72.3,1.59,187,108,61,1.21,645,Strength,23.5,4.14,3,2,28.71
28,Male,88.4,1.64,195,101,66,0.45,395,Yoga,19.7,3.9,3,2,32.95
34,Female,47.9,1.79,183,113,63,1.05,507,Strength,25.5,3.34,3,3,15.01
55,Male,69.4,1.81,172,141,71,0.99,1061,HIIT,29.5,3.6,3,1,21.28
41,Male,63.9,1.74,171,134,63,1.45,1460,HIIT,9.6,3.57,4,1,21.08
22,Female,57.5,1.77,195,116,63,1.39,825,Cardio,22.2,3.43,4,3,18.45
51,Male,88.0,1.86,173,114,67,1.2,835,Strength,13.2,4.21,3,1,25.33
23,Male,69.7,1.76,175,113,64,1.03,691,Strength,19.6,3.13,2,1,22.54
39,Female,64.5,1.63,171,114,67,1.68,754,Strength,21.1,3.78,3,2,24.26
28,Male,63.4,1.71,183,132,70,1.33,991,Cardio,18.2,3.27,3,1,21.61
33,Female,82.2,1.65,177,151,76,1.21,1345,HIIT,23.1,4.34,2,1,30.17
50,Male,70.4,1.81,170,116,58,1.05,856,Cardio,15.3,3.82,4,3,21.52
26,Female,86.3,1.71,201,109,68,1.34,718,Strength,30.4,4.89,3,2,29.64
23,Female,65.9,1.68,193,101,62,2.12,809,Yoga,25.6,3.79,3,1,23.33
33,Female,45.3,1.7,168,119,61,1.73,1109,Cardio,29.7,3.18,4,3,15.64
46,Female,62.6,1.65,175,123,66,1.19,965,HIIT,27.7,3.49,5,3,22.93
20,Male,63.1,1.69,189,142,74,1.8,1561,HIIT,29.7,3.55,2,1,21.98
37,Female,73.3,1.75,173,118,74,0.88,541,Strength,29.6,3.71,2,1,23.93
53,Male,74.3,1.77,177,122,68,1.7,1074,Strength,14.2,3.99,3,3,23.74
36,Male,80.3,1.84,170,123,64,1.28,1037,Cardio,9.1,3.68,2,2,23.64
43,Male,72.8,1.73,185,107,70,1.36,554,Yoga,13.1,4.21,4,2,24.31
20,Female,57.2,1.66,199,129,74,1.53,1082,Cardio,21.5,2.82,6,3,20.89
36,Male,64.4,1.71,196,82,64,1.21,381,Yoga,16.6,3.73,4,2,21.98
37,Female,76.7,1.71,172,134,79,1.01,959,HIIT,39.2,3.42,4,1,26.38
49,Female,62.6,1.61,167,126,72,0.84,700,Cardio,24.0,3.58,5,2,24.01
24,Female,60.6,1.74,192,146,69,0.76,886,HIIT,18.7,3.59,2,1,19.93
58,Male,75.2,1.66,178,126,66,1.42,1134,Cardio,20.3,2.95,5,2,27.22
50,Female,55.5,1.65,180,148,68,1.06,1160,HIIT,28.0,3.16,3,2,20.3
57,Male,73.6,1.76,178,132,76,0.83,653,Cardio,17.2,3.49,2,1,23.8
56,Male,80.9,1.81,180,104,69,2.29,825,Yoga,27.6,3.55,3,2,24.61
35,Male,63.5,1.68,184,134,68,2.02,1597,Cardio,10.0,4.07,2,1,22.54
57,Male,65.5,1.66,170,123,59,1.35,1207,HIIT,25.7,3.41,3,1,23.65
18,Female,84.3,1.6,183,111,71,1.55,759,Strength,23.5,3.63,3,2,32.74
28,Female,59.9,1.72,184,117,59,0.87,662,Cardio,22.7,2.96,3,1,20.37
45,Male,70.3,1.82,177,116,59,0.89,609,Strength,29.0,3.11,4,2,21.12
42,Male,59.2,1.79,173,110,69,1.03,604,Strength,23.2,3.07,3,1,18.49
40,Male,89.9,1.79,180,100,60,1.3,666,Yoga,15.5,4.15,5,2,27.92
48,Male,63.2,1.74,170,129,65,1.7,1518,HIIT,12.9,4.18,6,3,20.84
47,Female,64.8,1.54,183,117,65,0.66,409,Strength,26.4,3.16,5,2,27.45
59,Male,54.1,1.68,173,130,72,2.05,1356,Cardio,14.7,4.25,4,2,19.1
52,Male,89.5,1.8,171,105,53,1.54,1045,Cardio,21.0,3.79,5,3,27.64
24,Male,94.5,1.65,189,114,67,0.61,459,Strength,19.9,3.82,3,1,34.77
33,Female,71.8,1.66,177,116,71,1.21,783,Strength,32.6,4.5,3,1,26.2
43,Female,43.5,1.63,172,120,71,0.83,500,Strength,28.5,2.23,2,1,16.33
19,Female,76.7,1.69,187,123,75,0.81,618,Cardio,31.8,2.87,2,1,27.03
18,Female,53.4,1.5,190,101,58,1.08,525,Strength,29.2,3.73,5,3,23.74
29,Female,48.6,1.58,186,130,68,1.06,954,HIIT,35.9,3.2,4,1,19.53
22,Male,72.6,1.78,190,128,70,2.04,1550,Cardio,19.5,3.94,2,2,22.92
54,Female,59.4,1.68,165,91,54,1.33,597,Strength,20.7,3.03,4,2,21.05
49,Female,57.9,1.73,175,137,73,1.39,1187,HIIT,26.6,3.48,2,1,19.26
26,Female,82.8,1.57,182,101,72,1.63,538,Yoga,24.9,4.19,3,2,33.69
58,Female,93.2,1.73,151,108,63,1.1,660,Strength,24.6,4.08,4,1,31.06
52,Female,45.8,1.6,192,95,65,0.89,305,Yoga,21.3,2.49,3,2,17.94
36,Female,55.4,1.62,177,147,80,0.59,571,HIIT,,2.83,2,1,21.07
33,Female,67.0,1.67,179,121,67,1.31,854,Cardio,17.6,3.4,6,3,24.0
20,Female,59.6,1.62,182,120,66,1.85,1049,Strength,16.6,4.06,4,3,22.81
37,Female,70.6,1.71,175,135,77,1.48,1078,Cardio,19.0,3.37,4,1,24.21
41,Female,77.8,1.6,178,118,82,1.24,581,Strength,29.9,3.83,2,1,30.34
50,Male,88.5,1.73,183,107,67,1.44,828,Strength,18.7,5.0,2,2,29.48
41,Female,73.5,1.7,178,103,69,1.1,475,Yoga,25.9,3.17,2,1,25.34
28,Male,101.2,1.8,184,124,69,1.28,1033,Cardio,19.5,3.99,4,3,31.17
25,Female,42.8,1.65,195,107,66,1.04,538,Strength,20.0,2.94,2,2,15.75
53,Female,85.7,1.51,170,123,65,0.63,550,Strength,29.4,2.42,3,1,37.41
55,Female,59.2,1.76,173,115,60,2.08,1194,Strength,22.8,3.36,5,3,19.17
57,Male,89.0,1.69,166,91,69,1.36,384,Yoga,13.3,4.22,3,2,30.98
37,Male,63.6,1.73,192,111,60,1.3,797,Strength,12.0,3.48,4,3,21.35
52,Male,65.3,1.68,180,126,61,2.09,1756,HIIT,11.7,4.48,4,3,23.0
42,Female,74.3,1.55,178,123,65,1.85,1116,Strength,28.8,4.0,2,1,30.88
52,Male,51.0,1.75,172,115,80,2.11,872,Strength,22.5,3.66,2,1,16.71
42,Male,91.9,1.76,179,142,61,1.36,1458,HIIT,12.4,3.87,4,3,29.64
46,Male,95.6,1.84,176,107,59,1.49,1090,Cardio,10.9,4.17,4,3,28.39
35,Female,67.5,1.55,173,125,67,1.38,1104,Cardio,28.2,3.19,2,1,27.99
35,Female,67.0,1.55,189,98,68,2.03,588,Yoga,14.2,4.0,3,3,27.9
19,Male,66.3,1.67,189,115,70,1.32,809,Strength,17.2,3.23,4,2,23.72
52,Male,87.4,1.79,185,119,68,0.81,656,HIIT,27.3,3.25,5,1,27.39
33,Female,69.9,1.58,186,138,63,1.19,1294,HIIT,19.0,3.36,4,3,27.93
58,Female,52.1,1.54,156,119,73,1.56,779,Strength,26.6,3.66,4,1,21.92
53,Female,59.5,1.77,166,105,59,1.67,734,Strength,27.6,3.75,5,3,19.01
50,Male,75.8,1.91,162,128,62,1.09,801,Strength,23.3,3.94,3,1,20.74
21,Female,59.5,1.66,182,126,70,1.22,755,Strength,25.3,3.05,3,2,21.62
50,Male,58.9,1.69,165,127,67,1.09,971,HIIT,19.2,3.33,2,1,20.53
31,Female,74.8,1.65,186,130,70,1.73,1391,HIIT,18.8,4.71,5,2,27.54
38,Female,61.6,1.58,179,119,69,1.02,598,Strength,27.5,3.9,2,2,24.75
37,Male,78.2,1.71,186,132,71,0.73,693,Cardio,12.8,2.99,2,1,26.79
25,Male,69.9,1.85,187,126,64,1.94,1290,Strength,6.7,3.66,5,2,20.5
24,Female,71.7,1.74,187,105,63,1.31,749,Cardio,30.0,4.4,4,2,23.79
20,Female,67.8,1.54,202,135,64,1.12,1096,HIIT,29.4,3.71,2,1,28.5
34,Female,82.0,1.65,184,121,59,1.68,1350,Cardio,26.9,4.07,4,3,29.94
50,Female,71.7,1.7,175,133,74,0.8,721,HIIT,23.8,3.29,3,1,24.75
29,Female,62.2,1.65,180,107,75,1.56,440,Yoga,27.3,3.77,4,2,22.83
39,Female,54.6,1.66,173,97,75,1.17,296,Yoga,22.8,3.39,4,2,19.88
39,Male,90.1,1.73,185,112,68,1.69,929,Strength,15.4,4.1,4,2,30.13
47,Female,61.0,1.66,181,116,79,0.61,304,Yoga,32.4,3.02,3,1,22.25
55,Male,75.6,1.69,182,117,69,1.31,607,Yoga,18.8,3.57,3,1,26.62
55,Male,75.6,1.82,175,137,59,1.22,1244,HIIT,13.5,3.81,5,2,22.7
25,Female,59.4,1.65,185,119,79,1.05,519,Strength,18.2,3.02,3,2,21.89
44,Male,75.8,1.64,181,126,66,1.72,1135,Strength,16.3,3.54,5,3,28.21
44,Male,105.0,1.53,178,77,58,1.25,371,Yoga,22.3,4.94,2,2,44.89
51,Male,63.3,1.84,180,130,80,1.31,831,Cardio,15.6,3.52,2,1,18.81
38,Female,53.6,1.67,189,113,67,1.59,728,Strength,30.9,4.2,3,1,19.26
47,Male,97.4,1.77,175,135,68,1.43,1373,HIIT,14.8,3.53,2,1,31.19
50,Male,72.8,1.62,186,133,77,0.77,736,Cardio,23.2,2.84,2,1,27.56
